Topic,"Title (for model laws include the word ""Model"" in title)",Short Title (only for Exemplary),Year (if unknown for Model look at effective date - use same year if July/prior year if January),Source,Source Website,State (multiple states separated by a comma) ,"Format (Model, Exemplary, Support)","Level (State, County, Municipal)","Type (Bill, Act/Ordinance, Executive Order, Referendum, Administrative Rule, Constitutional Amendment, Report, Other)",Web Folder Link to PDF,Web Folder Path to PDF,Web Folder Link to Word Doc,Summary,Bill Number,Web Folder Link to Bill PDF,Legislative History,Alternative Terms,(Internal Notes)
Instant Run-Off Voting,Model Ranked Voting Enabling Bill ,,,Fair Vote,http://www.fairvote.org/,,Model,State,Bill,http://www.BrandeisProject.org/Alice/Web_Folder/Voting_and_Elections/Instant_Run-Off_Voting/Model_Ranked_Voting_Enabling_Bill.pdf,,,"This bill allows a city or county to conduct a local election using ranked choice voting in which voters rank the candidates for office in order of preference. Ranked choice voting elections may be used for single-winner elections, such as Mayor, or for elections that elect multiple candidates to office, such as city council. This bill authorizes ranked choice voting methods to be adopted by ballot measure, initiative ordinance, or charter amendment.",,,,,
Modernize and Automate Voter Registration,Model State Paperless Registration Act,,,Project Vote,http://www.projectvote.org/,,Model,State,Bill,http://www.BrandeisProject.org/Alice/Web_Folder/Voting_and_Elections/Modernize_and_Automate_Voter_Registration/Model_State_Paperless_Registration_Act.pdf,,,This bill requires state agencies offering voter registration to do so by using technology that will transmit voter registration information entered into such agency’s database electronically to the appropriate election authority.,,,,,
National Popular Vote Compact (NPVC),"Agreement Among the States to Elect the President by National Popular
Vote Model Act",,,Every Vote Equal,http://www.every-vote-equal.com/,,Model,State,Bill,http://www.BrandeisProject.org/Alice/Web_Folder/Voting_and_Elections/National_Popular_Vote_Compact_(NPVC)/Agreement_Among_the_States_to_Elect_the_President_by_National_Popular_Vote_Model_Act.pdf,,,"This bill establishes an agreement between every state that enacts this bill to conduct a statewide popular election for President and Vice President of the United States.  This bill does not become effective in any state until it is enacted by states collectively possessing a majority of the electoral votes (that is, 270 of the 538 electoral votes).  This bill would change the Electoral College from an institution that reflects the voters’ state-by-state choices into a body that reflects the voters’ nationwide choice. Specifically, the proposed compact would require that each member state award its electoral votes to the presidential candidate who received the largest number of popular votes in all 50 states and the District of Columbia.",,,,,
Redistricting Reform,Model State Redistricting Law,,,"Asian Pacific American Legal Center, California Common Cause, California 
League of Women Voters, Center for Governmental Studies and Demos.","http://www.apalc.org/, http://www.commoncause.org/site/pp.asp?c=dkLNK1MQIwG&b=4846185, http://ca.lwv.org/, http://www.cgs.org/, http://www.demos.org/",California,Model,State,Bill,http://www.BrandeisProject.org/Alice/Web_Folder/Voting_and_Elections/Redistricting_Reform/Model_State_Redistricting_Law.pdf,,,"This bill creates bipartisan committees, representative of the state population, to create voter districts and prevent partisan gerrymandering in order to encourage greater voter participation by giving voters greater confidence that their vote ""counts"" and to encourage more qualified candidates to run for office when they don't face a higher barrier to be elected where districts have been created to be partisan. ",,,,,
Redistricting Reform,Model State Redistricting Reform Law,,,Fair Vote,http://www.fairvote.org/,,Model,State,Bill,http://www.BrandeisProject.org/Alice/Web_Folder/Voting_and_Elections/Redistricting_Reform/Model_State_Redistricting_Reform_Law.pdf,,,"This bill creates a nonpartisan redistricting commission, representative of the diversity of the state, that is solely responsible for the development of a redistricting plan, including whether to create single member districts, multi-member districts with proportional voting systems, or some combination thereof.  In the creation of a redistricting plan the commission must, among other things, attempt to maximize representation and competitiveness in districts.  This bill also establishes basic requirements of a redistricting plans and procedures in the event that the House of Representatives or the Senate reject the commission's plan.",,,,,
Universal Voter Registration with Opt-Out Provision,Model Universal State Act for Voter Registration,,,Fair Vote,http://www.fairvote.org/,,Model,State,Bill,http://www.BrandeisProject.org/Alice/Web_Folder/Voting_and_Elections/Universal_Voter_Registration_with_Opt-Out_Provision/Model_Universal_State_Act_for_Voter_Registration.pdf,,,This bill requires all resident citizens who will be eligible to register to vote in the next general election to register to vote or to affirmatively decline to register to vote,,,https://www.revisor.mn.gov/revisor/pages/search_status/status_detail.php?b=Senate&f=SF1298&ssn=0&y=2007,,
Youth Voter Registration,Model Pre-registration Bill,,,Project Vote,http://www.projectvote.org/,,Model,State,Bill,http://www.BrandeisProject.org/Alice/Web_Folder/Voting_and_Elections/Youth_Voter_Registration/Model_Pre-registration_Bill.pdf,,,This bill authorizes individuals 16 years or old to pre-register to vote after which time registration to vote will be automatic on that person's 18th birthday.,,,,,
Youth Voter Registration,High School Voter Registration Model Act,,,Project Vote,http://www.projectvote.org/,,Model,State,Bill,http://www.BrandeisProject.org/Alice/Web_Folder/Voting_and_Elections/Youth_Voter_Registration/High_School_Voter_Registration_Model_Act.pdf,,,"This bill requires the election clerk or official to contact every high school in the state in order to determine how many students are eligible or will be eligible to vote during the academic year and then distribute the appropriate amount of registration forms to each high school so that forms will always be available to eligible voters.  Public high schools are required to include a voter registration form in each senior registration packet, send completed forms to the appropriate authority, and conduct a voter education program during school hours at least eight weeks before a November election. ",,,,,
Equitable Mandatory Arbitration,Arbitration Limitation Model Act,,,National Consumer Law Center,http://www.nclc.org,,Model,State,Bill ,http://www.BrandeisProject.org/Alice/Web_Folder/Economic_Security/Equitable_Mandatory_Arbitration/Arbitration_Limitation_Model_Act.pdf,,,"This bill: invalidates pre-dispute arbitration clauses in any insurance transaction involving consumers, explicitly stating that it only regulates the business of insurance, avoiding federal preemption by the Federal Arbitration Act (FAA); requires disclosure of the costs of arbitration; provides that pre-dispute arbitration clause generally are unenforceable unless the FAA provides for their enforceability; requires arbitration service providers to disclose information about individual cases and their outcome, including  a business's use of the same arbitration service provider, how long arbitrations take, how much arbitrators are paid, and who pays them; requires waiver of filing fees for low income consumers; and prohibits administration of arbitrations where a non-prevailing consumer must pay the other side’s attorney fees and costs.",,,,,
Urban Agriculture Zoning,Madison Zoning Code Chapter 28,Madison Zoning Code,,Madison City Council ,http://www.cityofmadison.com/council/,Wisconsin,Exemplary,Municipal ,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Energy_and_Environment/Urban_agriculture_zoning/Madison_Zoning_Code_Chapter_28.pdf,,,Madison Wisconsin's zoning codes,,,,,
Subsidy Transparency and Clawbacks,Key Reforms: Clawbacks,,,Good Jobs First ,http://www.goodjobsfirst.org/,,Support,State,Other,http://www.BrandeisProject.org/Alice/Web_Folder/Revenue_And_Budget/Subsidy_Transparency_and_Clawbacks/Key_Reforms_Clawbacks.pdf,,,,,,,,
Subsidy Transparency and Clawbacks,Examples of Clawbacks Provisions in State Subsidy Programs,,,Good Jobs First,http://www.goodjobsfirst.org/,"Arizona, Colorado, Connecticut, Georgia, Illinois, Iowa, Maine, Maryland, Michigan, Minnesota, Nevada, Nebraska, North Carolina, North Dakota, Ohio, Oklahoma, South Carolina, Vermont, Virginia, West Virginia",Support,State,Other,http://www.BrandeisProject.org/Alice/Web_Folder/Revenue_And_Budget/Subsidy_Transparency_and_Clawbacks/Examples_of_Clawbacks_Provisions_in_State_Subsidy_Programs.pdf,,,,,,,,
Living Wage Requirements in Government Contracts,Prevailing Wage Act Information,,,Illinois Department of Labor,http://www.state.il.us/agency/idol/,Illinois,Support,State,Other,http://www.BrandeisProject.org/Alice/Web_Folder/Labor_Rights_and_Protections/Living_Wage_Requirements_in_Government_Contracts/Prevailing_Wage_Act_Illinois.pdf,,,Summary of Illinois' Minimum Wage Laws for Public Works Projects,,,,"Prevailing Wage, Minimum Wage, Wage Index, Workforce Development, Government Procurement, Government Contracting",
Benefits Corporations,State by State Legislative Status of Benefit Corporations,,,Benefit Corporation Information Center,http://benefitcorp.net/,"California, Hawaii, Illinois, Maryland, Massachusetts, Louisiana, New Jersey, New York, Vermont, South Carolina, Virginia, Pennsylvania, Washington, DC, ",Support,State,Other,http://www.BrandeisProject.org/Alice/Web_Folder/Economic_and_Workforce_Development/Benefits_Corporations/State-by-State_Legislative_Status_Benefit_Corporation_as_of_20120905.pdf,,,A list of states where benefits corporation legislation has been introduced.,,,,"Economic Development, Benefit Corporation, Corporate Responsibility, 
Corporate Transparancy, Public Purpose Corporation, Special Purpose 
Corporation,",
Tax Credit for In-State College and Work,Opportunity Maine Program,,,Opportunity Maine ,http://www.opportunitymaine.org/,Maine,Support,State,Other,http://www.BrandeisProject.org/Alice/Web_Folder/Economic_and_Workforce_Development/Tax_Credit_for_In-State_College_and_Work/Opportunity_Maine_Program.pdf,,,"The Opportunity Maine Program is a bold, practical, and 
universal promise to reward hard work and a commitment to Maine with 
educational and economic opportunity.
The Educational Opportunity Tax Credit reimburses Maine workers for 
student loan payments for those who earn an associate or bachelor’s 
degree at a Maine school and continue to live and work here after 
graduation. Alternatively, businesses that pay employees’ student loans 
as an employee benefit will be able to claim the tax credit, providing a
 strong incentive to expand or locate businesses here in Maine.",,,,"Educational Opportunity Tax Credit, Workforce Development, Economic Development, Lifelong Learning,",
